,hostname,coordenadas,distancia a Kepler-220
99,HD 102365 B,"[-1.1602009009063374, 19.688123348444094, 23.095971401214594]",536.3907509907025
98,HD 102365,"[-1.1592493520324474, 19.63277429393331, 23.028184795255132]",536.4500517090179
362,ups And B,"[11.906514601140861, 26.482032935891034, 32.94525669694406]",537.6673020733812
361,ups And,"[11.847072258889854, 26.36295756060767, 32.779132687169394]",537.7589220724764
355,gam Cep,"[-4.042079611262805, 44.724771753578, 9.846262092263236]",537.9098251737206
82,GJ 86,"[-14.69102332775903, -22.951869260040663, 22.208712984514353]",539.6142223919702
14,CD Cet,"[1.7454597362550188, 1.5522531418716894, 27.961915207119542]",539.8962268934127
81,GJ 849,"[1.0746131168355884, -2.0575560495969896, 28.59583018322455]",540.0092513330385
7,61 Vir,"[2.9217366723578286, 8.20679658420949, 26.31645841538076]",540.0257160112063
67,GJ 625,"[-15.697440522052284, -6.872473709107931, 12.311899144932672]",540.7157735597086
62,GJ 486,"[-0.925333666562677, -4.360263303244884, 25.941938191931136]",540.9943692107985
33,GJ 229,"[-6.981995603311561, 0.3223746645419109, 17.415105149273064]",541.1528532795606
64,GJ 514,"[-1.711383148612368, -4.130820059743952, 24.428123171959946]",541.3766034210388
313,LTT 1445 A,"[-4.5587356472174, -4.485729261284908, 21.46118043355432]",541.464127268771
243,Kepler-1826,"[-763.2492217146367, 320.3703924893379, 722.1049383150756]",541.4925600517377
24,GJ 1265,"[4.541647260108692, -9.082311174013405, 31.84324135237552]",542.3591001293074
86,GJ 896 A,"[-0.8516962855111452, 6.906649413488966, 19.18520831922903]",542.4397882897046
50,GJ 393,"[0.12973603764532504, -0.3090656356138575, 22.920206571302828]",542.5872655712436
134,HD 219134,"[-3.616727065061196, 17.52180044876187, 11.543505180446632]",542.990057396063
131,HD 20794,"[-10.236394002792522, -8.589425491275012, 14.296371092685442]",543.5527878149334
120,HD 180617,"[-1.6372892863399342, 0.5710531844138015, 19.190340697073488]",543.5883570367212
60,GJ 436,"[1.1084461629160558, -14.24476536766485, 28.404393601236155]",543.6990009638076
141,HD 285968,"[9.466212815858745, 3.3084587998644603, 29.19979844658795]",544.0925128212657
55,GJ 414 A,"[4.158912141283947, -19.19437543729654, 33.41479656546053]",544.1231311704735
56,GJ 414 B,"[4.156636389602362, -19.166236307434236, 33.3688503745605]",544.1421823973169
139,HD 260655,"[9.715212148334352, -1.5894545762695662, 31.09690731483972]",544.3825961653248
303,L 363-38,"[-4.1448036935479005, -21.61396298146929, 25.055092275354458]",544.5020892064732
237,Kepler-1663,"[-777.1651618447962, 289.0485341412336, 725.3090469998932]",544.5773690693401
40,GJ 3323,"[-2.0521220190391487, -0.5312161160132725, 17.393284097809964]",544.8016107898595
66,GJ 581,"[2.1090957211229457, 1.7787637069284639, 20.345583612560514]",545.1021559934801
74,GJ 687,"[-13.710287337411728, -1.415811136074455, 5.475618604277062]",545.1939014988167
190,HN Lib,"[2.7506089354693457, 3.4495183811891676, 19.872962895027978]",545.4143004830756
